sku,description,brand,upc,unit_weight,price,classification,notes,
VS-605105,VICTORIA SECRET-BARE VANILLA LOTION 237 ML/8 OZ (CO:-MADE IN USA),VICTORIA SECRET,667556605105,0.52,19.95,FRAGRANCE LOTION,,
VS-605105-D,VICTORIA SECRET-BARE VANILLA LOTION 237 ML/8 OZ (CO:-MADE IN USA),VICTORIA SECRET,667556605105,,19.95,FRAGRANCE LOTION,,
VS-605112,VICTORIA SECRET AQUA KISS LOTION 236 ML/8 OZ (CO:-MADE IN USA),VICTORIA SECRET,667556605112,0.52,19.95,FRAGRANCE LOTION,,
VS-605129,VICTORIA SECRET-COCONUT PASSION BODY LOTION 236ML/8OZ (CO:- MADE IN USA),VICTORIA SECRET,667556605129,0.5,19.95,FRAGRANCE LOTION,,
VS-605136,VICTORIA SECRET-AMBER ROMANCE BODY LOTION 236ML/8OZ (CO:- MADE IN USA),VICTORIA SECRET,667556605136,0.5,19.95,FRAGRANCE LOTION,,
VS-605143,VICTORIA SECRET-MIDNIGHT BLOOM LOTION 237 ML/8 OZ(CO:- MADE IN USA),VICTORIA SECRET,667556605143,0.52,19.95,FRAGRANCE LOTION,,
VS-605150,VICTORIA SECRET TEMPTATION LOTION 237 ML/8 OZ (CO:-MADE IN USA),VICTORIA SECRET,667556605150,0.52,19.95,FRAGRANCE MIST,,
VS-605167,VICTORIA SECRET-ROMANTIC LOTION 237 ML/8 OZ (CO:-MADE IN USA),VICTORIA SECRET,667556605167,0.52,19.95,FRAGRANCE LOTION,,
VS-605174,VICTORIA SECRET-RUSH LOTION 237 ML/8.01 OZ (CO:-MADE IN USA),VICTORIA SECRET,667556605174,0.52,19.95,FRAGRANCE LOTION,,
VS-645882,VICTORIA SECRET-LOVE MIDNIGHT BLOOM MIST 248 ML/8.4 OZ (CO:-MADE IN USA),VICTORIA SECRET,24645882,0.54,19.95,FRAGRANCE MIST,,
VS-645882-UK,VICTORIA SECRET-LOVE MIDNIGHT BLOOM MIST 248 ML/8.4 OZ (CO:-MADE IN USA),VICTORIA SECRET,24645882,0.54,19.95,FRAGRANCE MIST,,
VS-648164,VICTORIA SECRET-MIDNIGHT BLOOM LOTION 237 ML/8 OZ,VICTORIA SECRET,24648164,0.52,19.95,FRAGRANCE LOTION,,
VS-650056,VICTORIA SECRET-MIDNIGHT BLOOM FRAGRANCE MIST 250ML/8.4OZ,VICTORIA SECRET,667544650056,0.52,19.95,FRAGRANCE MIST,,
VS-694843-DXB,VICTORIA SECRET-PURE SEDUCTION DECADENT FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667553694843,,,PERFUMES,,
VS-694850-DXB,VICTORIA SECRET-LOVE SPELL DECADENT FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667553694850,,,PERFUMES,,
VS-694867-DXB,VICTORIA SECRET-VELVET PETALS DECADENT FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667553694867,,,PERFUMES,,
VS-694874-DXB,VICTORIA SECRET-BARE VANILLA DECADENT FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667553694874,,,PERFUMES,,
VS-694881-DXB,VICTORIA SECRET-PURE SEDUCTION DECADENT FRAGRANT MOISTURIZING BODY LOTION 236 ML/7.9 OZ,VICTORIA SECRET,667553694881,,,SKINCARE,,
VS-694898-DXB,VICTORIA SECRET-LOVE SPELL DECADENT FRAGRANT MOISTURIZING BODY LOTION 236 ML/7.9 OZ,VICTORIA SECRET,667553694898,,,SKINCARE,,
VS-695208-DXB,VICTORIA SECRET-VELVET PETALS DECADENT FRAGRANT MOISTURIZING BODY LOTION 236 ML/7.9 OZ,VICTORIA SECRET,667553695208,,,SKINCARE,,
VS-695215-DXB,VICTORIA SECRET-BARE VANILLA DECADENT FRAGRANT MOISTURIZING BODY LOTION 236 ML/7.9  OZ,VICTORIA SECRET,667553695215,,,SKINCARE,,
VS-749782,VICTORIA SECRET-BARE VANILLA FRAGRANCE MIST 250ML/8.4OZ,VICTORIA SECRET,667550749782,0.52,19.95,FRAGRANCE MIST,,
VS-800501,VICTORIA SECRET-ROMANTIC FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667548800501,0.5,19.95,FRAGRANCE MIST,,
VS-800501-D,VICTORIA SECRET-ROMANTIC FRAGRANCE MIST 250 ML/8.4 OZ,,,,19.95,FRAGRANCE MIST,,
VS-800525-UK,VICTORIA SECRET-ROMANTIC BODY LOTION 236 ML/8 OZ,VICTORIA SECRET,667548800525,0.5,19.95,FRAGRANCE LOTION,,
VS-808624,VICTORIA SECRET-RUSH FRAGRANCE MIST 250ML/8.4OZ,VICTORIA SECRET,66753808624,0.52,19.95,FRAGRANCE MIST,,
VS-808637,VICTORIA SECRET-RUSH BODY LOTION 236ML/8OZ,VICTORIA SECRET,66753808637,0.5,19.95,FRAGRANCE LOTION,,
VS-846853-DXB,VICTORIA SECRET-ETERNAL SUNFLOWET FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667553846853,,,PERFUMES,,
VS-846860-DXB,VICTORIA SECRET-NEON LILY FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667553846860,,,PERFUMES,,
VS-846877-DXB,VICTORIA SECRET-ELECTRIC POPPY FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667553846877,,,PERFUMES,,
VS-846891-DXB,VICTORIA SECRET-ETERNAL SUNFLOWER FRAGRANCE LOTION 236 ML/7.9 OZ,VICTORIA SECRET,667553846891,,,SKINCARE,,
VS-847058-DXB,VICTORIA SECRET-HORIZON IN BLOOM FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667553847058,,,PERFUMES,,
VS-847065-DXB,VICTORIA SECRET-BEFORE THE RAIN FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,677553847065,,,PERFUMES,,
VS-847089-DXB,VICTORIA SECRET-BENEATH THE PALMS FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667553847089,,,PERFUMES,,
VS-847096-DXB,VICTORIA SECRET-HORIZON IN BLOOM FRAGRANCE LOTION 236 ML/7.9 OZ,VICTORIA SECRET,667553847096,,,SKINCARE,,
